,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
21920,317740,GB-0276,small_airport,Sherlowe Airstrip,52.735708200000005,-2.6014437000000004,,EU,GB,GB-ENG,,no,,,,,,
21921,317744,GB-0277,small_airport,Stow Airstrip,53.321569200000006,-0.6781381999999999,,EU,GB,GB-ENG,Stow,no,,,,,,
21922,323657,GB-0278,small_airport,Niden Manor Farm Airstrip,52.125809600000004,-1.1700706,,EU,GB,GB-ENG,Moreton Pinkney,no,,,,,,
21923,317885,GB-0279,small_airport,Stoke Golding Airfield,52.5800833,-1.4313333000000001,300.0,EU,GB,GB-ENG,Stoke Golding,no,,,,,,
21924,317925,GB-0280,small_airport,Deenethorpe,52.50627049999999,-0.589011,,EU,GB,GB-ENG,,no,,,,,,
21925,317926,GB-0281,small_airport,Lyveden Glider Field,52.4653179,-0.5748076999999999,,EU,GB,GB-ENG,Lyveden,no,,,,,,
21926,317927,GB-0282,small_airport,Newnham Grounds Airstrip,52.2376234,-1.1416561,,EU,GB,GB-ENG,,no,,,,,,
21927,317928,GB-0283,small_airport,Lark Engine Farmhouse Airstrip,52.4226804,0.3776757,,EU,GB,GB-ENG,,no,,,,,,
21928,317943,GB-0284,small_airport,Haxey Airstrip,53.4924766,-0.8143633000000001,,EU,GB,GB-ENG,Haxey,no,,,,,,
21929,317944,GB-0285,small_airport,Hatton Airstrip,57.40675079999999,-1.9115685000000002,,EU,GB,GB-SCT,Hatton,no,,,,,,
21930,317945,GB-0286,small_airport,Longside Airfield,57.51696999999999,-1.86417,120.0,EU,GB,GB-SCT,Peterhead,no,,,,http://www.buchanaeroclub.co.uk/,,"Buchan, Peterhead"
21931,317974,GB-0287,small_airport,Charterhall Airfield,55.7075978,-2.3785037,350.0,EU,GB,GB-SCT,,no,,,,http://www.mortonhall.co.uk/charterhall/charterhall-airfield/,https://en.wikipedia.org/wiki/RAF_Charterhall,
21932,317979,GB-0288,small_airport,Castle Kennedy Airfield,54.897551,-4.936961,,EU,GB,GB-SCT,,no,,,,http://www.castlekennedyairfield.co.uk,,
21933,317996,GB-0289,small_airport,Finningley Village Airstrip,53.508162399999996,-0.9409417999999999,,EU,GB,GB-ENG,Finningley,no,,,,,,
21934,317997,GB-0290,small_airport,Garforth Airstrip,53.79379229999999,-1.3569498,,EU,GB,GB-ENG,Garforth,no,,,,,,
21935,317999,GB-0291,small_airport,Midlem Airstrip,55.540032999999994,-2.7427099999999998,,EU,GB,GB-SCT,Midlem,no,,,,,,
21936,318001,GB-0292,small_airport,Milden Airstrip,52.0697469,0.8570614,,EU,GB,GB-ENG,Milden,no,,,,,,
21937,318002,GB-0293,small_airport,Milson Airstrip,52.3615547,-2.5457821,,EU,GB,GB-ENG,Milson,no,,,,,,
21938,318003,GB-0294,small_airport,Upwood Glider Field,52.432190000000006,-0.14743499999999998,72.0,EU,GB,GB-ENG,Upwood,no,,,,,,"Nene Valley Gliding Club,RAF Upwood"
21939,318005,GB-0295,small_airport,Ranston Airstrip,50.915116499999996,-2.1853714,,EU,GB,GB-ENG,,no,,,,,,
21940,318008,GB-0296,small_airport,East Lochlane Farm Airstrip,56.3678531,-3.8722739,,EU,GB,GB-SCT,,no,,,,,,
21941,318010,GB-0297,small_airport,Hallwell Airstrip,50.3651272,-3.7068993999999997,,EU,GB,GB-ENG,,no,,,,,,
21942,318012,GB-0298,small_airport,Green Farm Airstrip,52.16008720000001,-1.5481724,,EU,GB,GB-ENG,,no,,,,,,
21943,318073,GB-0299,closed,RAF Winfield,55.7496625,-2.1643404,,EU,GB,GB-SCT,Winfield,no,,,,,,
21944,318074,GB-0300,small_airport,Nayland Airstrip,51.974486,0.8498950000000001,160.0,EU,GB,GB-ENG,Nayland,no,,,,http://www.naylandairfield.co.uk/,,
21945,318075,GB-0301,small_airport,Great Ashfield Airstrip,52.257253799999994,0.9372999,,EU,GB,GB-ENG,Great Ashfield,no,,,,,,
21946,318076,GB-0302,small_airport,Claybrooke Farm Airstrip,52.509143,-1.279523,,EU,GB,GB-ENG,,no,,,,,,
21947,318142,GB-0303,small_airport,Croft Airstrip,53.12312270000001,0.2522559,,EU,GB,GB-ENG,Croft,no,,,,,,
21948,318143,GB-0304,small_airport,Craysmarch Airstrip,51.363649200000005,-2.0908580000000003,,EU,GB,GB-ENG,Melksham,no,,,,,,
21949,318144,GB-0305,small_airport,Lyminge Airstrip,51.146176700000005,1.0460664000000002,,EU,GB,GB-ENG,,no,,,,,,
21950,318145,GB-0306,small_airport,Lymm Dam Airstrip,53.36883829999999,-2.4764095,,EU,GB,GB-ENG,Lymm,no,,,,,,
21951,318149,GB-0307,closed,RAF Spitalgate Air Base,52.9009328,-0.5983483,,EU,GB,GB-ENG,Grantham,no,,,,,https://en.wikipedia.org/wiki/RAF_Spitalgate,
21952,318165,GB-0308,small_airport,Streethay Farm Airstrip,52.691874,-1.785665,,EU,GB,GB-ENG,Lichfield,no,,,,,,
21953,318166,GB-0309,small_airport,Haydock Park Airstrip,53.478356999999995,-2.622433,,EU,GB,GB-ENG,Ashton-In-Makerfield,no,,,,,,
21954,318167,GB-0310,small_airport,Bryn Gates Airfield,53.513189000000004,-2.625593,,EU,GB,GB-ENG,Wigan,no,,,,,,
21955,318683,GB-0311,small_airport,Rush Green Airstrip,51.904275399999996,-0.248437,,EU,GB,GB-ENG,Hitchin,no,,,,,,Rush Green Aviation
21956,318860,GB-0312,closed,RNAS Stretton,53.345240000000004,-2.522535,,EU,GB,GB-ENG,Stretton,no,,,,,,
21957,318861,GB-0313,closed,RAF Lichfield,52.716804,-1.7843229999999999,,EU,GB,GB-ENG,Lichfield,no,,,,,https://en.wikipedia.org/wiki/RAF_Lichfield,
21958,318862,GB-0314,small_airport,Otherton Airfield,52.709483999999996,-2.0920810000000003,,EU,GB,GB-ENG,Otherton,no,,,,http://www.othertonairfield.co.uk/,,
21959,318918,GB-0315,small_airport,RAF Kirknewton Air Base,55.8766667,-3.3994443999999997,,EU,GB,GB-SCT,Kirknewton,no,,,,,https://en.wikipedia.org/wiki/RAF_Kirknewton,
21960,319032,GB-0316,small_airport,Napps Field Airstrip,51.65625,0.42067,200.0,EU,GB,GB-ENG,Billericay,no,,,,,,
21961,319061,GB-0317,small_airport,Abergavenny Airport,51.795023,-2.9943720000000003,,EU,GB,GB-WLS,Abergavenny,no,,,,,,
21962,319062,GB-0318,small_airport,Allensmore Airfield,51.989967,-2.781699,,EU,GB,GB-ENG,Allensmore,no,,,,,,
21963,319063,GB-0319,small_airport,Archerfield Airstrip,56.043574,-2.801755,,EU,GB,GB-SCT,,no,,,,,,
21964,319064,GB-0320,small_airport,Arclid Airfield,53.14196999999999,-2.3181380000000003,,EU,GB,GB-ENG,Arclid,no,,,,,,
21965,319065,GB-0321,small_airport,Woodview Airfield,54.370157999999996,-6.59167,,EU,GB,GB-NIR,Armagh,no,,,,,,
21966,319066,GB-0322,heliport,Arran Heliport,55.57663,-5.134378,,EU,GB,GB-SCT,Arran,no,,,,,,
21967,319067,GB-0323,small_airport,Bakersfield Airstrip,52.484869999999994,-0.618103,,EU,GB,GB-ENG,Corby,no,,,,,,
21968,319068,GB-0324,small_airport,Baxterley Aerodrome,52.568769999999994,-1.614299,,EU,GB,GB-ENG,Baxterley,no,,,,,,
21969,319069,GB-0325,small_airport,Beeches Farm Airstrip,53.159268999999995,-0.725236,,EU,GB,GB-ENG,South Scarle,no,,,,,,
21970,319070,GB-0326,small_airport,Belle Vue Airfield,50.976851,-4.0971839999999995,,EU,GB,GB-ENG,Huntshaw Cross,no,,,,,,
21971,319071,GB-0327,small_airport,Benington Airfield,51.883113,-0.123301,,EU,GB,GB-ENG,Benington,no,,,,,,
21972,319072,GB-0328,small_airport,Binstead Airfield,50.722077,-1.204915,,EU,GB,GB-ENG,Binstead,no,,,,,,
21973,319073,GB-0329,small_airport,Blair Atholl Airfield,56.763509,-3.825599,,EU,GB,GB-SCT,Blair Atholl,no,,,,,,
21974,319074,GB-0330,small_airport,Boughton North Airfield,52.590886,0.5170130000000001,,EU,GB,GB-ENG,Boughton,no,,,,,,
21975,319075,GB-0331,small_airport,Stoke Ferry Airfield,52.58414499999999,0.515755,,EU,GB,GB-ENG,Boughton,no,,,,,,
21976,319076,GB-0332,small_airport,Bowerchalke Airfield,50.983647999999995,-1.991682,,EU,GB,GB-ENG,Bowerchalke,no,,,,,,
21977,319077,GB-0333,small_airport,Bowldown Farm Airstrip,51.628871999999994,-2.237254,,EU,GB,GB-ENG,,no,,,,,,
21978,319078,GB-0334,small_airport,Breidden Airfield,52.702036,-3.0924490000000002,,EU,GB,GB-WLS,Welshpool,no,,,,,,
21979,319079,GB-0335,small_airport,Bridlington Airfield,54.120748999999996,-0.236527,,EU,GB,GB-ENG,Bridlington,no,,,,,,
21980,319080,GB-0336,small_airport,Bucknall Airfield,53.19988000000001,-0.253972,,EU,GB,GB-ENG,Bucknall,no,,,,,,
21981,319081,GB-0337,small_airport,Calcot Airfield,51.794453000000004,-1.8354849999999998,,EU,GB,GB-ENG,Calcot,no,,,,,,
21982,319087,GB-0338,heliport,Essex Police Heliport,51.781395,0.52142,,EU,GB,GB-ENG,Boreham,no,,,,,,
21983,319099,GB-0339,small_airport,Chipping Airfield,53.885042000000006,-2.620864,,EU,GB,GB-ENG,Chipping,no,,,,,,
21984,319134,GB-0340,small_airport,Skelling Fram Airstrip,54.697922,-2.584196,560.0,EU,GB,GB-ENG,,no,,,,,,Eden Soaring Gliding Club
21985,319137,GB-0341,small_airport,Garton Field Airstrip,53.79654549999999,-0.09115380000000001,40.0,EU,GB,GB-ENG,,no,,,,,,
21986,319153,GB-0342,heliport,Vanguard Heliport,51.490626,-0.025373,,EU,GB,GB-ENG,London,no,,,,,,
21987,319154,GB-0343,heliport,The Royal London Hospital Helipad,51.517868,-0.05834299999999999,,EU,GB,GB-ENG,London,no,,,,,,
21988,319156,GB-0344,heliport,Wythenshawe Hospital Helipad,53.388414000000004,-2.2896330000000003,,EU,GB,GB-ENG,Manchester,no,,,,,,
21989,319157,GB-0345,heliport,Royal Stoke University Hospital Helipad,53.002632999999996,-2.210636,,EU,GB,GB-ENG,Stoke-on-Trent,no,,,,,,
21990,319158,GB-0346,heliport,Queen Elizabeth Hospital Helipad,52.452751,-1.944705,,EU,GB,GB-ENG,Birmingham,no,,,,,,
21991,319159,GB-0347,heliport,Lundy Island Helipad,51.164763,-4.666801,,EU,GB,GB-ENG,Lundy Island,no,,,,,,
21992,319160,GB-0348,heliport,Bristol Royal Infirmary Helipad,51.458895,-2.596294,,EU,GB,GB-ENG,Bristol,no,,,,,,
21993,319161,GB-0349,heliport,Royal Bournemouth Hospital Helipad,50.746805,-1.819998,,EU,GB,GB-ENG,Bournemouth,no,,,,,,
21994,319162,GB-0350,heliport,Queen Alexandra Hospital Heliport,50.851178000000004,-1.069046,,EU,GB,GB-ENG,Portsmouth,no,,,,,,
21995,319163,GB-0351,heliport,Southampton University Hospital Helipad,50.933521999999996,-1.432187,,EU,GB,GB-ENG,Southampton,no,,,,,,
21996,319164,GB-0352,heliport,St Mary's Hospital Helipad,50.711058,-1.298346,,EU,GB,GB-ENG,Newport (IoW),no,,,,,,
21997,319221,GB-0353,small_airport,Houghton Airstrip,53.0064953,-0.6901654,,EU,GB,GB-ENG,Houghton (Lancashire),no,,,,,,
21998,319222,GB-0354,small_airport,Grangewood Airstrip,52.73251189999999,-1.582376,,EU,GB,GB-ENG,,no,,,,,,
21999,319346,GB-0355,small_airport,Dunnyvadden Airstrip,54.84872729999999,-6.2069651,,EU,GB,GB-NIR,,no,,,,,,
22000,319347,GB-0356,small_airport,Chilsfold Farm Airstrip,51.0600362,-0.5936161999999999,,EU,GB,GB-ENG,,no,,,,,,
22001,319348,GB-0357,small_airport,Bute Airfield,55.7567765,-5.0479623,46.0,EU,GB,GB-SCT,,no,,,,,,
22002,319351,GB-0358,small_airport,Springfield Farm Airstrip,52.1496201,-1.6172333,,EU,GB,GB-ENG,Ettington,no,,,,,,
22003,319353,GB-0359,small_airport,Knocking Airstrip,52.804564899999995,-2.9907931,,EU,GB,GB-ENG,,no,,,,,,
22004,319365,GB-0360,small_airport,Brook Farm Airstrip,52.919230799999994,-1.7375729,,EU,GB,GB-ENG,Boylestone,no,,,,,,
22005,319418,GB-0361,small_airport,Cliffe Airstrip,53.7857965,-0.9998435,,EU,GB,GB-ENG,,no,,,,,,
22006,319419,GB-0362,small_airport,Castlerock Airstrip,55.1582291,-6.7915365,,EU,GB,GB-NIR,Castlerock (Ulster),no,,,,,,
22007,319446,GB-0363,small_airport,Exning Airstrip,52.290167100000005,0.3698329,,EU,GB,GB-ENG,,no,,,,,,
22008,319447,GB-0364,small_airport,Cottered Airstrip,51.9481015,-0.0981913,,EU,GB,GB-ENG,,no,,,,,,
22009,319943,GB-0365,small_airport,Holmbeck Farm Airfield,51.910304499999995,-0.7286654,420.0,EU,GB,GB-ENG,Wing (Bucks),no,,,,http://www.users.globalnet.co.uk/~dartdirx/holmbeck_farm_airfield.html,,
22010,320049,GB-0366,small_airport,Stoke Airfield,51.4456,0.633467,,EU,GB,GB-ENG,Stoke,no,,,,http://www.ravenmad.co.uk/findus.htm,,Medway
22011,320071,GB-0367,small_airport,Chatteris Airfield,52.4873,0.08911110000000001,5.0,EU,GB,GB-ENG,Chatteris,no,,,,,,
22012,320072,GB-0368,small_airport,Sandy Airfield,52.129787,-0.31085300000000005,80.0,EU,GB,GB-ENG,Sandy,no,,,,,,"Long Acres Farm, Bedford Microlight"
22013,320075,GB-0369,small_airport,Darley Moor Airfield,52.9693,-1.74868,580.0,EU,GB,GB-ENG,,no,,,,http://www.airways-airsports.com,,
22014,320078,GB-0370,small_airport,Derryogue,54.0517,-6.029625,68.0,EU,GB,GB-NIR,Derryogue,no,,,,,,
22015,320079,GB-0371,small_airport,Decoy Farm Airstrip,52.8654,-0.306622,9.0,EU,GB,GB-ENG,,no,,,,,,
22016,320089,GB-0372,small_airport,Shifnal Airfield,52.6668,-2.4,420.0,EU,GB,GB-ENG,Shifnal,no,,,,http://www.wrekinmfc.co.uk,,"wrekin,shaw lane"
22017,320144,GB-0373,small_airport,Forest Farm Airstrip,52.669214000000004,-3.0299325,,EU,GB,GB-ENG,,no,,,,,,
22018,320145,GB-0374,small_airport,Viewfield Airstrip,57.6641249,-3.188644,,EU,GB,GB-SCT,,no,,,,,,
22019,320146,GB-0375,small_airport,Falgunzeon Glider Airfield,54.9445493,-3.7393837999999997,,EU,GB,GB-SCT,Kirkgunzeon by Dalbeattie,no,,,,http://www.dumfriesanddistrictglidingclub.co.uk,,Dumfries and District Cliding Club
22020,320153,GB-0376,small_airport,Yorkshire Gliding Club,54.230661600000005,-1.2111428999999998,,EU,GB,GB-ENG,,no,,,,,,
22021,320188,GB-0377,small_airport,Croughton Manor Farm Airstrip,51.9878923,-1.2071768999999999,,EU,GB,GB-ENG,,no,,,,,,
22022,320198,GB-0378,small_airport,Barling Airfield,51.5684,0.794664,10.0,EU,GB,GB-ENG,Barling,no,,,,,,http://www.airfieldcards.com/php/courtesy_card.php?id=19
22023,320200,GB-0379,small_airport,Latch Farm Airstrip,55.8742,-3.45464,640.0,EU,GB,GB-SCT,,no,,,,,,
22024,320253,GB-0380,small_airport,Devon and Somerset Gliding Club,50.851585899999996,-3.2748162,,EU,GB,GB-ENG,,no,,,,,,
22025,320265,GB-0381,small_airport,Walkeridge Farm Airstrip,51.292227399999994,-1.2482383,,EU,GB,GB-ENG,,no,,,,,,
22026,320267,GB-0382,small_airport,Seighford Airfield,52.827544499999995,-2.2081646,,EU,GB,GB-ENG,,no,,,,,,Staffordshire Gliding Club
22027,320275,GB-0383,small_airport,North Wales Gliding Club,53.043229000000004,-3.2219453999999996,,EU,GB,GB-WLS,,no,,,,,,
22028,320276,GB-0384,small_airport,Kenley Aerodrome,51.305428799999994,-0.0959572,,EU,GB,GB-ENG,Kenley,no,,,,,,
22029,320282,GB-0385,small_airport,Abbots Bromley Airfield,52.81846899999999,-1.9023860000000001,,EU,GB,GB-ENG,,no,,,,,,
22030,320283,GB-0386,small_airport,[Duplicate] Skegness Airfield,53.1776,0.335256,10.0,EU,GB,GB-ENG,Skegness,no,,,,,,
22031,320284,GB-0387,small_airport,Hollym Airfield,53.7157,0.0496694,50.0,EU,GB,GB-ENG,,no,,,,http://www.hollymairfield.metsite.com/,,
22032,320285,GB-0388,small_airport,Pitsford Water,52.3153,-0.871944,330.0,EU,GB,GB-ENG,,no,,,,,,Moulton Grange Farm
22033,320287,GB-0389,small_airport,Sutton Meadows Airfield,52.38711,0.060610000000000004,3.0,EU,GB,GB-ENG,,no,,,,http://www.cambsmicrolightclub.co.uk/,,Airplay Aviation
22034,320289,GB-0390,small_airport,Coleman Green Airstrip,51.7918157,-0.274944,,EU,GB,GB-ENG,,no,,,,,,
22035,320292,GB-0391,small_airport,Pocklington Airfield,53.926401600000005,-0.7946340000000001,,EU,GB,GB-ENG,,no,,,,,,
22036,320297,GB-0392,small_airport,South Wales Gliding Club,51.7193476,-2.8487476000000003,,EU,GB,GB-WLS,,no,,,,http://www.uskgc.co.uk,,
22037,320305,GB-0393,small_airport,Currock Hill Glider Field,54.9331,-1.8468099999999998,800.0,EU,GB,GB-ENG,,no,,,,http://www.northumbria-gliding-club.co.uk/,,Northumbria Gliding Club
22038,320365,GB-0394,small_airport,Little Snoring Airfield,52.860285,0.903092,,EU,GB,GB-ENG,,no,,,,http://www.mcaullyflyinggroup.org/little-snoring-flying-in.aspx,,
22039,320366,GB-0395,small_airport,Main Hall Farm Airfield,52.2719444444,-0.0708333333,63.0,EU,GB,GB-ENG,,no,,,,,,
22040,320367,GB-0396,small_airport,[Duplicate] Great Massingham,52.77916999999999,0.676944,295.0,EU,GB,GB-ENG,,no,,,,,,
22041,320407,GB-0397,small_airport,Chilbolton,51.1377,-1.41801,292.0,EU,GB,GB-ENG,,no,,,,http://chilboltonflyingclub.co.uk,,
22042,320408,GB-0398,small_airport,St Michaels,53.8518,-2.79346,28.0,EU,GB,GB-ENG,,no,,,,http://www.northernmicrolights.co.uk/,,
22043,320409,GB-0399,small_airport,Chase Farm Airstrip,51.5681,-2.38754,325.0,EU,GB,GB-ENG,,no,,,,,,
22044,320410,GB-0400,small_airport,Lamb Holm Airfield,58.8876,-2.89184,65.0,EU,GB,GB-SCT,,no,,,,,,
22045,320445,GB-0401,small_airport,Graveley Airstrip,51.9407,-0.203425,334.0,EU,GB,GB-ENG,Graveley,no,,,,,,
22046,320446,GB-0402,small_airport,Knockbain Farm Airstrip,57.5895,-4.46539,596.0,EU,GB,GB-SCT,,no,,,,,,
22047,320448,GB-0403,small_airport,Crockham Hill Airfield,51.233604,0.08001,,EU,GB,GB-ENG,,no,,,,,,Orchard House
22048,320449,GB-0404,small_airport,Norwood Lodge Airstrip,51.8361993,1.1157883,,EU,GB,GB-ENG,,no,,,,,,
22049,320464,GB-0405,small_airport,Hardwicke Airstrip,52.0853,-3.06163,500.0,EU,GB,GB-ENG,Hardwicke,no,,,,,,
22050,320465,GB-0406,small_airport,Harringe Airfield,51.0924,0.9886940000000001,275.0,EU,GB,GB-ENG,,no,,,,http://www.kentmicrolightclub.co.uk,,
22051,320467,GB-0407,small_airport,Yearby Airstrip,54.5847,-1.0695299999999999,89.0,EU,GB,GB-ENG,,no,,,,http://www.acro.co.uk,,
22052,320479,GB-0408,small_airport,Southdown Gliding Club,50.9240525,-0.47475259999999997,,EU,GB,GB-ENG,,no,,,,,,
22053,320499,GB-0409,small_airport,Skydive Strathallan,56.325307099999996,-3.7492997999999997,,EU,GB,GB-SCT,,no,,,,http://skydivestrathallan.co.uk,,
22054,320500,GB-0410,small_airport,Tandragee Airstrip,54.386565100000006,-6.400175099999999,,EU,GB,GB-NIR,Craigavon,no,,,,http://kernanaviation.co.uk,,
22055,320506,GB-0411,small_airport,Husbands Bosworth Airfield,52.43928979999999,-1.0416094,,EU,GB,GB-ENG,,no,,,,,,
22056,320507,GB-0412,small_airport,Membury Airfield,51.479812,-1.560453,,EU,GB,GB-ENG,Membury,no,,,,,,
22057,320508,GB-0413,small_airport,Nether Huntlywood Airstrip,55.676638,-2.60787,,EU,GB,GB-SCT,,no,,,,,,
22058,320548,GB-0414,small_airport,RAF Weston-on-the-Green,51.8787124,-1.2187748,282.0,EU,GB,GB-ENG,,no,,,,,https://en.wikipedia.org/wiki/RAF_Weston-on-the-Green,
22059,320551,GB-0415,small_airport,RAF Keevil,51.3129023,-2.111585,,EU,GB,GB-ENG,Keevil,no,,,,,https://en.wikipedia.org/wiki/RAF_Keevil,
22060,320552,GB-0416,small_airport,Shenington Gliding Club,52.0843451,-1.4735737,,EU,GB,GB-ENG,Shenington,no,,,,,,
22061,320553,GB-0417,small_airport,Slay Barn private airstrip,51.7306856,-1.1438319,,EU,GB,GB-ENG,"Cuddesdon, Oxford",no,,,,,,
22062,320554,GB-0418,small_airport,Wishangar Farm private Airstrip,51.1504806,-0.808142,,EU,GB,GB-ENG,Frensham,no,,,,,,
22063,320610,GB-0419,small_airport,Banbury Airfield,52.100634,-1.381742,525.0,EU,GB,GB-ENG,,no,,,,,,
22064,320611,GB-0420,small_airport,Norfolk Glider Club,52.4579,1.15495,183.0,EU,GB,GB-ENG,Tibenham,no,,,,,,
22065,320612,GB-0421,small_airport,Stratford-upon-Avon Gliding Club,52.2354901,-1.7177869,,EU,GB,GB-ENG,Stratford-upon-Avon,no,,,,http://www.stratfordgliding.co.uk/,,
22066,320631,GB-0422,small_airport,Hook Norton Airstrip,52.0093,-1.4896,591.0,EU,GB,GB-ENG,,no,,,,,,
22067,320632,GB-0423,small_airport,[Duplicate]Carrickmore,54.5711,-7.0441899999999995,541.0,EU,GB,GB-NIR,,no,,,,http://www.cmore.flyer.co.uk/,,
22068,320640,GB-0424,small_airport,Jenkins Farm Airstrip,51.6404,0.202711,250.0,EU,GB,GB-ENG,,no,,,,,,
22069,320641,GB-0425,small_airport,Burnham Airstrip,52.938,0.772644,125.0,EU,GB,GB-ENG,,no,,,,,,
22070,320642,GB-0426,small_airport,Felthorpe Airfield,52.7059,1.19449,150.0,EU,GB,GB-ENG,,no,,,,http://felthorpe.net,,
22071,320686,GB-0427,small_airport,Askern Airfield,53.6104,-1.13324,,EU,GB,GB-ENG,,no,,,,http://www.southyorkshiremicrolightclub.org.uk,,
22072,320687,GB-0428,small_airport,Drayton St. Leonard,51.6641,-1.12693,,EU,GB,GB-ENG,,no,,,,,,
22073,320703,GB-0429,small_airport,Lleweni Parc Glyndwr Soaring Club,53.21044499999999,-3.3855523,,EU,GB,GB-WLS,,no,,,,,,
22074,320706,GB-0430,closed,Hook Airstrip,51.276115000000004,-0.9407369000000001,,EU,GB,GB-ENG,,no,,,,,,
22075,320721,GB-0431,small_airport,Barnards Farm,51.56399999999999,0.355231,80.0,EU,GB,GB-ENG,West Horndon,no,,,,http://www.barnardsfarm.eu/,,
22076,320749,GB-0432,small_airport,Brook Farm Airfield,53.897788,-2.9022330000000003,20.0,EU,GB,GB-ENG,,no,,,,,,
22077,320750,GB-0433,small_airport,Tillingham Airstrip,51.6928,0.872767,60.0,EU,GB,GB-ENG,,no,,,,,,
22078,320763,GB-0434,small_airport,Ludham Airfield,52.7185,1.55172,,EU,GB,GB-ENG,,no,,,,http://www.ludhamairfield.org/,,
22079,320764,GB-0435,small_airport,Eye Kettleby Airstrip,52.7405,-0.9067440000000001,323.0,EU,GB,GB-ENG,,no,,,,,,
22080,320766,GB-0436,small_airport,Charlton Mires Airstrip,55.4793,-1.7247700000000001,300.0,EU,GB,GB-U-A,,no,,,,,,
22081,320773,GB-0437,small_airport,Ayton Castle Airstrip,55.8512,-2.11824,217.0,EU,GB,GB-ENG,,no,,,,,,
22082,320791,GB-0438,small_airport,Baxby-Husthwaite Airfield,54.1689,-1.22665,130.0,EU,GB,GB-ENG,,no,,,,http://www.baxbyairsports.co.uk,,"Baxby,Husthwaite"
22083,320792,GB-0439,small_airport,Headon Microlight,53.2826,-0.8719469999999999,136.0,EU,GB,GB-ENG,Retford,no,,,,http://microflight.co.uk,,
22084,320793,GB-0440,small_airport,Tarn Farm Airfield,53.9354,-2.8432,15.0,EU,GB,GB-ENG,,no,,,,http://www.microLight.me.uk,,
22085,320821,GB-0441,small_airport,Easterton Glider Field,57.5874,-3.30685,360.0,EU,GB,GB-SCT,Easterton,no,,,,http://www.highglide.co.uk/,,Highland Gliding Club
22086,320822,GB-0442,small_airport,Fort Augustus Airstrip,57.127577,-4.670706,460.0,EU,GB,GB-SCT,Glendoe,no,,,,,,
22087,320839,GB-0443,small_airport,Forwood Farm Airstrip,53.3026,-0.85115,135.0,EU,GB,GB-ENG,,no,,,,,,
22088,320840,GB-0444,small_airport,Alcester Airfield,52.2292,-1.8771400000000003,50.0,EU,GB,GB-ENG,Alcester,no,,,,,,King's Coughton
22089,320841,GB-0445,small_airport,Park Hall Airstrip,52.9824,-1.3710799999999999,390.0,EU,GB,GB-ENG,,no,,,,http://www.ramairmicrolights.co.uk/,,
22090,320845,GB-0446,small_airport,Woodlow Farm Private Airstrip,52.1061,-2.45333,360.0,EU,GB,GB-ENG,Bosbury,no,,,,http://www.woodlowfarm.co.uk/,,
22091,320846,GB-0447,small_airport,Manton Airfield,51.4237,-1.77079,585.0,EU,GB,GB-ENG,,no,,,,http://www.pmaviation.co.uk/,,
22092,320852,GB-0448,small_airport,Slieve Croob Airfield,54.329595999999995,-5.945292,800.0,EU,GB,GB-NIR,,no,,,,,,
22093,320853,GB-0449,small_airport,Swanborough Farm Airstrip,50.8539,0.00256389,25.0,EU,GB,GB-ENG,,no,,,,,,
22094,320869,GB-0450,small_airport,Witherenden Airstrip,51.0046,0.621697,35.0,EU,GB,GB-ENG,,no,,,,,,
22095,320870,GB-0451,small_airport,Eastchurch Airfield,51.403,0.845842,60.0,EU,GB,GB-ENG,,no,,,,,,
22096,320893,GB-0452,small_airport,Mendlesham Airstrip,52.2295,1.1239299999999999,181.0,EU,GB,GB-ENG,,no,,,,,,
22097,320895,GB-0453,small_airport,Willingale Airstrip,51.7292,0.286556,250.0,EU,GB,GB-ENG,,no,,,,,,
22098,320918,GB-0454,small_airport,Mitton Airstrip,52.73291700000001,-2.1850169999999998,300.0,EU,GB,GB-ENG,,no,,,,,,
22099,320919,GB-0455,small_airport,Brooklands Farm Airstrip,52.3575,-0.242917,50.0,EU,GB,GB-ENG,,no,,,,http://www.paramotorsuk.co.uk,,
22100,320928,GB-0456,small_airport,Stonehill Farm Airstrip,55.4669,-3.84473,890.0,EU,GB,GB-SCT,,no,,,,,,
22101,320929,GB-0457,small_airport,Spilsteads Farm Airstrip,50.937,0.52078,115.0,EU,GB,GB-ENG,Sedlescombe,no,,,,http://www.coleaviation.co.uk,,
22102,320984,GB-0458,large_airport,[Duplicate] Pic,55.50569399999999,-4.586792,,EU,GB,GB-SCT,Prestwick,no,,,,,,
22103,321026,GB-0459,small_airport,Broadmeadow Airfield,52.0258,-2.76321,325.0,EU,GB,GB-ENG,,no,,,,,,
22104,321027,GB-0460,small_airport,Woonton Airstrip,52.1626,-2.9462,399.0,EU,GB,GB-ENG,Woonton,no,,,,,,
22105,321054,GB-0461,small_airport,Gransden Lodge Glider Field,52.181597,-0.112033,,EU,GB,GB-ENG,,no,,,,http://www.camgliding.uk/,https://en.wikipedia.org/wiki/Gransden_Lodge_Airfield,
22106,321057,GB-0462,small_airport,Octon Airstrip,54.1266,-0.43036899999999995,227.0,EU,GB,GB-ENG,,no,,,,,,
22107,321058,GB-0463,small_airport,Davidstow Moor,50.6363,-4.6134,965.0,EU,GB,GB-ENG,,no,,,,,,
