,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
21784,307971,GB-0140,closed,RAF Brooklands,51.348608,-0.470326,54.0,EU,GB,GB-ENG,Surrey,no,EGLB,,,,,
21785,307972,GB-0141,closed,RAF Buckminster,52.801834,-0.67396,,EU,GB,GB-ENG,Lincolnshire,no,,,,,,
21786,307973,GB-0142,closed,RAF North Witham,52.7936797412,-0.598154067993,,EU,GB,GB-ENG,Lincolnshire,no,,,,,http://en.wikipedia.org/wiki/RAF_North_Witham,
21787,307974,GB-0143,closed,RAF Bungay / RAF Flixton,52.430059621800005,1.4183521270800001,,EU,GB,GB-ENG,Suffolk,no,,,,,http://en.wikipedia.org/wiki/RAF_Bungay,
21788,307975,GB-0144,closed,RAF Burgh Castle,52.58480600000001,1.6687889999999999,,EU,GB,GB-ENG,Norfolk,no,,,,,,
21789,307976,GB-0145,closed,RAF Burtonwood,53.410415,-2.654348,,EU,GB,GB-ENG,Warrington,no,,,,,http://en.wikipedia.org/wiki/RAF_Burtonwood,
21790,307977,GB-0146,small_airport,Rougham Airfield / RAF Bury St Edmunds,52.245828,0.767756,207.0,EU,GB,GB-ENG,Suffolk,no,,,,,http://en.wikipedia.org/wiki/RAF_Bury_St_Edmunds,
21791,307978,GB-0147,closed,RAF Caistor,53.502778,-0.36388899999999996,85.0,EU,GB,GB-ENG,Lincolnshire,no,,,,,http://en.wikipedia.org/wiki/RAF_Caistor,
21792,307990,GB-0148,closed,RAF Chilbolton,51.14495,-1.439,272.0,EU,GB,GB-ENG,,no,,,,,http://en.wikipedia.org/wiki/RAF_Chilbolton,
21793,308015,GB-0149,closed,RAF Charmy Down,51.428380518999994,-2.3454093933099998,,EU,GB,GB-ENG,Somerset,no,,,,,http://en.wikipedia.org/wiki/RAF_Charmy_Down,
21794,308246,GB-0150,small_airport,Knockrome Airstrip,55.872481881800006,-5.92163085938,,EU,GB,GB-SCT,,no,,,,,,Jura
21795,310506,GB-0151,small_airport,Oxenhope Airfield,53.813770999999996,-1.933444,1080.0,EU,GB,GB-ENG,Oxenhope,no,,,,,,
21796,314330,GB-0152,closed,RAF Mullaghmore,55.034,-6.5987,43.0,EU,GB,GB-SCT,Ballymoney,no,,,,,http://en.wikipedia.org/wiki/RAF_Mullaghmore,Aghadowey Aerodrome
21797,314331,GB-0153,small_airport,Wigtown Airfield,54.8527,-4.442,26.0,EU,GB,GB-SCT,Machars,no,,,,http://www.secretscotland.org.uk/index.php/Secrets/RAFWigtown,,Baldoon Airfield
21798,314332,GB-0154,closed,Silloth Airfiefd,54.8698,-3.366,23.0,EU,GB,GB-ENG,Silloth,no,,,,,http://en.wikipedia.org/wiki/RAF_Silloth,
21799,314333,GB-0155,closed,RAF Maghaberry,54.5156,-6.1783,328.0,EU,GB,GB-NIR,Maghaberry,no,,,,,,
21800,314355,GB-0156,closed,Cricklewood Aerodrome,51.565,-0.213,,EU,GB,GB-ENG,London,no,,,,,,
21801,314367,GB-0157,small_airport,Chiltern Park Aerodrome,51.550391999999995,-1.101773,180.0,EU,GB,GB-ENG,,no,,,,http://www.chiltern.aero/,http://en.wikipedia.org/wiki/Chiltern_Park_Aerodrome,
21802,314592,GB-0158,closed,RAF North Luffenham,52.632,-0.61,358.0,EU,GB,GB-ENG,North Luffenham,no,,,,,http://en.wikipedia.org/wiki/RAF_North_Luffenham,EGVL
21803,314752,GB-0159,closed,RAF Millom,54.200349115282,-3.325037688082,,EU,GB,GB-ENG,,no,,,,,,
21804,314753,GB-0160,closed,RAF Great Orton,54.874393495708,-3.0757531822382997,,EU,GB,GB-ENG,,no,,,,,,Wiggonby
21805,314754,GB-0161,closed,Royal Naval Air Station Anthorn,54.911597931141,-3.2785354256794,,EU,GB,GB-ENG,,no,,,,,http://en.wikipedia.org/wiki/Anthorn_Radio_Station,"RAF Anthorn, HMS Nuthatch, Anthorn Radio Station,"
21806,314755,GB-0162,closed,RAF Wath Head airfield,54.817778000000004,-3.111111,,EU,GB,GB-ENG,,no,,,,,,"RAF, No. 10 SLG"
21807,314756,GB-0163,closed,RAF Hutton in the Forest,54.731524844591,-2.883455962074,,EU,GB,GB-ENG,,no,,,,,,"RAF,No. 8 SLG"
21808,314757,GB-0164,closed,RAF Brayton Park,54.773889000000004,-3.301111,,EU,GB,GB-ENG,,no,,,,,,"RAF,No. 39 SLG"
21809,314758,GB-0165,closed,RAF Hornby Hall,54.656696499999995,-2.6538934,,EU,GB,GB-ENG,,no,,,,,,"RAF,No. 9 SLG,Brougham"
21810,314759,GB-0166,small_airport,Glassonby Airfield,54.73799399999999,-2.6518610000000002,,EU,GB,GB-ENG,,no,,,,http://www.therowleyestates.com/services/airfield/,,
21811,314760,GB-0167,closed,Longtown airfield,55.005191,-2.920267,,EU,GB,GB-ENG,,no,,,,,https://en.wikipedia.org/wiki/RAF_Longtown,RAF Longtown
21812,314761,GB-0168,small_airport,Berrier Airstrip,54.656504000000005,-2.93365,,EU,GB,GB-ENG,,no,,,,,,
21813,314762,GB-0169,small_airport,Bedlands Gate airstrip,54.570822,-2.671125,,EU,GB,GB-ENG,,no,,,,,,
