id,lat,lon
0,41.6612561,-91.5299106
1,43.0349931,-87.92249699999998
2,47.2150945,-123.10070659999998
3,38.951883,-92.3337366
4,47.6038321,-122.3300624
6,46.877229,-96.789821
7,36.1662859,-115.149225
8,39.9098345,-75.3235215
9,47.6694141,-122.1238767
10,47.4799078,-122.2034496
11,39.7989763,-89.6443688
12,42.1237102,-71.1786627
13,41.4239666,-76.494113
14,33.732052,-84.91910809999997
15,46.6864843,-123.7329469
16,28.5423999,-81.37943680000002
17,36.791225,-81.7712324
18,40.8116667,-73.8063889
19,44.100351,-70.2147764
20,26.452024800000004,-81.948145
21,29.8946952,-81.3145395
23,34.0922335,-117.435048
25,44.5365467,-122.9068762
26,41.41347639999999,-73.3086445
27,34.5402813,-112.469518
28,47.8222945,-122.8751712
29,47.65940910000001,-122.6766317
30,60.5439444,-145.75891030000003
31,39.6020608,-74.8426653
32,38.4493315,-78.8688833
33,45.63069539999999,-122.6744557
34,41.3909305,-72.859545
35,42.3192548,-85.18242690000002
36,30.3321838,-81.655651
37,43.61656,-116.200835
38,35.881048,-83.77661826479999
39,33.382363500000004,-86.91720475
40,47.6038321,-122.3300624
41,38.7945166,-83.5451934
42,27.4989278,-82.5748194
43,47.6038321,-122.3300624
44,41.2157904,-86.777617
45,38.4087993,-121.3716178
46,44.3479362,-87.8269868
48,43.5499749,-96.700327
49,36.7295295,-119.70886126100001
50,39.1146799,-94.7495246
53,27.8002542,-97.3955744
54,45.3573429,-122.60675829999998
57,47.6694141,-122.1238767
58,38.6337716,-90.2416548
59,36.8889933,-76.24816240000001
60,35.3848841,-77.9927651
61,36.6744117,-121.6550372
62,36.6744117,-121.6550372
63,47.8278656,-122.3053932
64,35.9242943,-80.05638640000002
65,41.0799898,-85.13860150000002
66,45.4206749,-122.6706498
67,34.000749299999995,-81.03433129999998
68,47.5315625,-122.63840559999998
70,33.44858660000001,-112.0773456
71,45.8846686,-95.377883
73,41.8500997,-71.4661703
75,37.8912529,-122.1859572
76,44.721784,-123.920113
77,41.2230048,-111.9738429
78,45.891774,-123.961527
79,47.1849009,-122.2921406
81,48.118146,-123.4307413
85,47.36642310000001,-122.0437127
88,40.284041,-79.5489517
90,35.3738712,-119.0194639
91,41.70106420000001,-71.15463670000003
92,32.8579056,-97.2547371
93,31.344550800000004,-109.5453461
94,36.1662859,-115.149225
96,41.439754,-81.7405559
97,28.247132,-82.71702389010001
98,45.9109715,-122.7408326
99,33.44858660000001,-112.0773456
100,47.5278365,-121.87643742
105,47.24957979999999,-122.4398746
107,42.7260523,-87.78252420000003
108,35.3738712,-119.0194639
109,47.6038321,-122.3300624
110,38.8339578,-104.8253485
112,45.4206749,-122.6706498
113,40.4731073,-88.9941403
114,40.2338438,-111.6585337
115,40.5863563,-122.3916754
116,47.0023813,-124.15324840000002
117,45.4206749,-122.6706498
118,44.0581728,-121.3153096
119,46.8030154,-95.3525318
120,36.6240321,-78.5569437
