lat,lon
55.9515812,-3.3469413
53.3287084,-3.1001542
52.0640034,-0.411113756
55.0437502,-1.442781
51.4834057,-3.1777848
51.6848377,-5.0917566
52.6308963,1.3023614
55.9515812,-3.3469413
55.9515812,-3.3469413
51.521181,0.140201961
53.3287084,-3.1001542
55.9515812,-3.3469413
51.89107295,-0.423030408
54.7023545,-3.2765753
51.2566427,-1.6256882
51.52388835,-0.059571141
52.6801808,-1.8256976
52.1113388,-0.0689173
52.4468669,-1.4947943
51.4677705,-0.459082142
51.4834057,-3.1777848
53.3287084,-3.1001542
51.6848377,-5.0917566
55.9515812,-3.3469413
57.3295089,-3.6104018
51.4834057,-3.1777848
53.7923813,-2.6825658
50.8557196,-2.1659342
53.3287084,-3.1001542
51.4834057,-3.1777848
51.89960485,-0.204953918
51.9053313,-0.2010146
53.3287084,-3.1001542
53.9160366,-2.1426716
57.1323697,-3.1891212
57.8353731,-3.8264263
51.9008045,-0.212185086
53.7785231,-1.528629107
53.03218215,-1.195975011
53.3287084,-3.1001542
52.4160035,-1.9701231
53.2213252,-4.208335
53.3287084,-3.1001542
50.8985496,-1.389066329
55.9515812,-3.3469413
51.51604055,-0.136339396
52.114323,0.0313526
53.3287084,-3.1001542
51.5882332,-2.9974967
50.72734445,-3.474513573
53.395709,-2.9592819
51.3459804,1.3696263
53.6590675,-1.9506259
53.3287084,-3.1001542
51.4557821,-0.9735712
51.71074705,-0.271792343
53.969669,-1.089902
52.5256719,-1.838445
51.50404045,-0.124844231
51.4459342,0.3239596
51.5635164,-0.1279909
53.94660805,-1.048003015
51.5879189,-0.327102194
51.52833615,-0.065696967
53.8849051,-1.4453448
54.9924571,-1.6055338
51.3459804,1.3696263
55.9515812,-3.3469413
51.65384375,0.482887165
53.3287084,-3.1001542
52.4408272,-1.898841483
53.5598812,-2.874645931
53.3287084,-3.1001542
53.3287084,-3.1001542
51.6666717,-3.000007
53.2744269,-3.9024425
52.9874799,-1.20675381
52.24583745,0.709952669
53.0968006,-3.2104351
52.6890014,-2.8735907
51.41961795,-0.079441744
55.1672574,-1.7344669
50.8467436,-1.0679459
52.5852451,-2.1221216
51.5542865,-0.250602413
51.0731851,-1.8071257
52.4851977,-1.913720701
51.25,-1.916667
51.5917498,-3.183331829
51.503513,-0.4662704
52.194144,0.1375027
54.6580139,-1.2005633
53.37933435,-1.480072596
52.0001337,-4.2685111
51.7492956,-0.3422526
51.5023278,-0.1260826
50.8516341,-0.9385464
52.1341692,-4.5462206
