id,type,latitude_deg,longitude_deg
323361,small_airport,38.704021999999995,-101.473911
6524,small_airport,59.94919968,-151.695999146
6525,small_airport,34.86479949951172,-86.77030181884766
322127,small_airport,34.9428028,-97.8180194
6527,small_airport,34.305599212646484,-112.16500091552734
6528,small_airport,35.350498199499995,-116.88800048799999
324424,small_airport,39.427188,-121.76342700000001
6531,small_airport,28.64550018310547,-82.21900177001953
6533,small_airport,27.230899810791016,-80.96920013427734
6534,small_airport,33.767501831054695,-84.06829833984375
6537,small_airport,48.145301818847656,-116.21399688720705
322581,small_airport,39.724028000000004,-101.39599399999999
6539,small_airport,41.97840118408203,-89.5604019165039
6541,small_airport,40.02560043334961,-89.1229019165039
6542,small_airport,38.72779846191406,-94.93049621582031
6543,small_airport,37.409400939941406,-84.61969757080078
6545,small_airport,30.13629913330078,-92.4293975830078
6546,small_airport,38.75709915161133,-75.75379943847656
6548,small_airport,46.29999923706055,-95.70030212402344
6549,small_airport,37.202800750732,-94.412399291992
6551,small_airport,39.47320175170898,-75.1852035522461
6552,small_airport,36.08520126342773,-78.37139892578125
6554,small_airport,42.90010070800781,-77.49970245361328
6555,small_airport,41.59090042114258,-84.14219665527344
45773,small_airport,41.2995,-80.211111
6560,small_airport,44.1832008362,-122.08899688700001
6561,small_airport,34.0093994140625,-80.26719665527344
6564,small_airport,35.515899658203125,-85.95359802246094
6565,small_airport,32.607601165771484,-97.24199676513672
6568,small_airport,36.57600021,-78.9991684
6569,small_airport,36.66329956054688,-80.49949645996094
6570,small_airport,46.67350006103501,-117.44300079346
6571,small_airport,47.17839813232422,-122.77200317382812
6572,small_airport,44.304298400878906,-89.05010223388672
6573,small_airport,46.25,-117.2490005493164
6574,small_airport,38.82889938354492,-79.86609649658203
6575,small_airport,33.033401489257805,-101.93399810791016
6576,small_airport,62.94359970092773,-152.27000427246094
6578,small_airport,32.945999145507805,-86.51390075683594
6583,small_airport,38.79990005493164,-120.73400115966795
6587,small_airport,28.589399337768555,-81.14420318603516
6589,small_airport,28.78190040588379,-81.1592025756836
6591,small_airport,32.674400329589844,-82.77110290527344
6592,small_airport,41.66109848022461,-90.74130249023438
6530,small_airport,42.60820007324219,-112.03199768066406
6593,small_airport,39.8849983215332,-86.50669860839844
6596,small_airport,39.01620101928711,-90.31819915771484
6597,small_airport,30.68630027770996,-81.90570068359375
6598,small_airport,37.03609848022461,-97.5864028930664
6599,small_airport,38.54059982299805,-97.00330352783205
6601,small_airport,32.638999938964844,-91.77369689941406
6602,small_airport,38.12580108642578,-89.46389770507812
6603,small_airport,30.70599937438965,-91.07740020751952
6610,small_airport,48.789100646972656,-114.87999725341795
6611,small_airport,34.47529983520508,-77.5813980102539
